tax_id,company_name,official_name,governorate,email,phone,phone_valid,trust_score,fraud_risk,analysis,last_verified,rne_status,rne_adjust
5259437B,Carthage Travel & Events,Carthage Travel & Events SARL,Ariana,contact@cte.tn,+216 71 860 015,False,91,false,,,NOT_VERIFIED,0
1170952L,Carthage Travel & Events - Tunis,Carthage Travel & Events - Tunis SARL,Tunis,tunis@cte.tn,+216 29 260 260,False,89,false,,,NOT_VERIFIED,0
4484106Z,Carthage Travel & Events - Hammamet,Carthage Travel & Events - Hammamet SARL,Hammamet,hammamet@cte.tn,+216 72 283 606,False,83,false,,,NOT_VERIFIED,0
2976245B,Carthage Travel & Events - Sousse,Carthage Travel & Events - Sousse SARL,Sousse,sousse@cte.tn,+216 73 277 702,False,92,false,,,NOT_VERIFIED,0
4011459P,Carthage Travel & Events - Sfax,Carthage Travel & Events - Sfax SARL,Sfax,sfax@cte.tn,+216 74 211 322,False,84,false,,,NOT_VERIFIED,0
4169736J,ALL SEASONS TRAVEL TUNISIA,ALL SEASONS TRAVEL TUNISIA SARL,Tunis,info@allseasons-travel.tn,+216 98 750 798,False,80,false,,,NOT_VERIFIED,0
1919328E,Tulip Travel & Events,Tulip Travel & Events SARL,Zarzis,contact@tulip-travel.tn,+216 26 100 540,False,77,false,,,NOT_VERIFIED,0
7430713W,Open Visa Tunisie,Open Visa Tunisie SARL,Tunis,info@openvisa.tn,+216 55 492 909,False,92,false,,,NOT_VERIFIED,0
3440237A,EXTRA VIRGIN TRAVEL,EXTRA VIRGIN TRAVEL SARL,Sfax,contact@extravirgintravel.tn,+216 97 777 555,False,78,false,,,NOT_VERIFIED,0
5356193Z,WTH Booking,WTH Booking SARL,Hammamet,booking@wth.tn,+216 72 261 826,False,93,false,,,NOT_VERIFIED,0
2435897B,Skyway Travel & Events,Skyway Travel & Events SARL,Ariana,info@skyway-travel.tn,+216 70 683 944,False,83,false,,,NOT_VERIFIED,0
5104541U,Evencia Travel & Event Management,Evencia Travel & Event Management SARL,Tunis,contact@evencia.tn,+216 71 268 100,False,77,false,,,NOT_VERIFIED,0
